Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
5644, -1, BR, 4.0, 104589.0, 104593.0, 
5644, -1, BR, 3.0, 104580.0, 104583.0, 
5644, -1, BR, 28.0, 104543.0, 104571.0, 
5644, -1, BR, 8.0, 104527.0, 104535.0, 
5684, 1, FR, 405.0, 105131.0, 105536.0, 
5690, 1, FR, 17.0, 105425.0, 105442.0, 
5690, 1, FR, 2.0, 105421.0, 105423.0, 
5690, 1, FR, 8.0, 105411.0, 105419.0, 
5690, 1, FR, 63.0, 105346.0, 105409.0, 
5690, 1, FR, 170.0, 105172.0, 105342.0, 
5705, -1, BR, 3.0, 105455.0, 105458.0, 
5714, -1, BR, 21.0, 105526.0, 105547.0, 
5725, 1, FR, 11.0, 105837.0, 105848.0, 
5725, 1, FR, 3.0, 105825.0, 105828.0, 
5725, 1, FR, 19.0, 105801.0, 105820.0, 
5725, 1, FR, 34.0, 105765.0, 105799.0, 
5725, 1, FR, 5.0, 105757.0, 105762.0, 
5725, 1, FR, 3.0, 105750.0, 105753.0, 
5725, 1, FR, 6.0, 105741.0, 105747.0, 
5726, -1, BR, 99.0, 106604.0, 106703.0, 
5726, -1, BR, 11.0, 106583.0, 106594.0, 
5726, -1, BR, 240.0, 106335.0, 106575.0, 
5726, -1, BR, 295.0, 106034.0, 106329.0, 
5726, -1, BR, 228.0, 105800.0, 106028.0, 
5728, 1, FR, 7.0, 105829.0, 105836.0, 
5818, 1, FR, 6.0, 107787.0, 107793.0, 
5835, -1, BR, 72.0, 84141.0, 84213.0, 
5836, -1, BR, 69.0, 35114.0, 35183.0, 
5836, -1, BR, 25.0, 35069.0, 35094.0, 
5836, -1, BR, 534.0, 34531.0, 35065.0, 
5836, -1, BR, 4.0, 34522.0, 34526.0, 
5836, -1, BR, 14.0, 34506.0, 34520.0, 
5838, -1, BR, 37.0, 11912.0, 11949.0, 
5840, -1, BR, 22.0, 23770.0, 23792.0, 
5842, -1, BR, 86.0, 99830.0, 99916.0, 
5842, -1, BR, 608.0, 99215.0, 99823.0, 
5842, -1, BR, 16.0, 99194.0, 99210.0, 
5842, -1, BR, 13.0, 99169.0, 99182.0, 
5842, -1, BR, 2.0, 99157.0, 99159.0, 
5842, -1, BR, 219.0, 98936.0, 99155.0, 
