Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
3797, 1, FR, 6.0, 72359.0, 72365.0, 
3800, 1, FR, 4.0, 72366.0, 72370.0, 
3801, -2, BT, 1849.0, 72377.0, 74226.0, 
3801, -1, BR, 2.0, 72370.0, 72372.0, 
3814, 1, FR, 9.0, 72505.0, 72514.0, 
3819, 1, FR, 3.0, 72562.0, 72565.0, 
3830, 1, FR, 3.0, 72673.0, 72676.0, 
3876, -1, BR, 4.0, 73453.0, 73457.0, 
3876, -1, BR, 12.0, 73439.0, 73451.0, 
3876, -1, BR, 3.0, 73434.0, 73437.0, 
3876, -1, BR, 5.0, 73424.0, 73429.0, 
3883, -1, BR, 3.0, 73808.0, 73811.0, 
3888, 1, FR, 9.0, 73897.0, 73906.0, 
3891, 1, FR, 5.0, 73922.0, 73927.0, 
3901, 1, FR, 3.0, 74106.0, 74109.0, 
3901, 1, FR, 34.0, 74070.0, 74104.0, 
3901, 1, FR, 2.0, 74066.0, 74068.0, 
3913, -1, BR, 21.0, 74934.0, 74955.0, 
3913, -1, BR, 5.0, 74927.0, 74932.0, 
3968, 1, FR, 2.0, 75905.0, 75907.0, 
3981, 1, FR, 8.0, 75988.0, 75996.0, 
3983, 1, FR, 782.0, 76032.0, 76814.0, 
3992, 1, FR, 2.0, 76258.0, 76260.0, 
3992, 1, FR, 6.0, 76248.0, 76254.0, 
4101, 1, FR, 7.0, 77683.0, 77690.0, 
4111, 1, FR, 3.0, 77843.0, 77846.0, 
4123, 1, FR, 7.0, 78314.0, 78321.0, 
4129, 1, FR, 23.0, 78483.0, 78506.0, 
4136, 1, FR, 2.0, 78603.0, 78605.0, 
4136, 1, FR, 9.0, 78591.0, 78600.0, 
4144, 1, FR, 2.0, 78674.0, 78676.0, 
4144, 1, FR, 10.0, 78662.0, 78672.0, 
4149, 1, FR, 55.0, 78734.0, 78789.0, 
4167, 1, FR, 30.0, 78991.0, 79021.0, 
4167, 1, FR, 47.0, 78942.0, 78989.0, 
4181, 1, FR, 16.0, 79450.0, 79466.0, 
4181, 1, FR, 5.0, 79440.0, 79445.0, 
4182, 1, FR, 4.0, 79544.0, 79548.0, 
4182, 1, FR, 8.0, 79506.0, 79514.0, 
4182, 1, FR, 3.0, 79496.0, 79499.0, 
4182, 1, FR, 7.0, 79485.0, 79492.0, 
4196, 1, FR, 4.0, 80102.0, 80106.0, 
4214, 1, FR, 94.0, 80501.0, 80595.0, 
4245, 1, FR, 3.0, 80982.0, 80985.0, 
4247, -1, BR, 4.0, 81010.0, 81014.0, 
4278, 1, FR, 4.0, 82263.0, 82267.0, 
4347, 1, FR, 7.0, 83923.0, 83930.0, 
4353, 1, FR, 3.0, 84114.0, 84117.0, 
4355, 1, FR, 3.0, 84168.0, 84171.0, 
4355, 1, FR, 15.0, 84142.0, 84157.0, 
4357, 1, FR, 32.0, 84190.0, 84222.0, 
4382, 2, FT, 256.0, 84805.0, 85061.0, 
4385, -1, BR, 4.0, 85073.0, 85077.0, 
4399, 1, FR, 14.0, 85529.0, 85543.0, 
4428, 1, FR, 8.0, 86669.0, 86677.0, 
4431, 1, FR, 14.0, 86711.0, 86725.0, 
4464, -1, BR, 153.0, 88273.0, 88426.0, 
4464, -1, BR, 12.0, 88247.0, 88259.0, 
4479, 1, FR, 4.0, 88496.0, 88500.0, 
4479, 1, FR, 6.0, 88485.0, 88491.0, 
4488, 1, FR, 39.0, 88561.0, 88600.0, 
4498, 1, FR, 5.0, 88728.0, 88733.0, 
4498, 1, FR, 2.0, 88713.0, 88715.0, 
4507, 1, FR, 3.0, 88818.0, 88821.0, 
4519, -1, BR, 11.0, 88926.0, 88937.0, 
4519, -1, BR, 11.0, 88913.0, 88924.0, 
4519, -1, BR, 9.0, 88900.0, 88909.0, 
4520, 1, FR, 5.0, 88907.0, 88912.0, 
4528, 1, FR, 239.0, 88985.0, 89224.0, 
4562, 1, FR, 31.0, 89737.0, 89768.0, 
4571, 1, FR, 5.0, 89901.0, 89906.0, 
4585, 1, FR, 9.0, 90300.0, 90309.0, 
4590, 1, FR, 11.0, 90340.0, 90351.0, 
4613, 1, FR, 12.0, 90775.0, 90787.0, 
4613, 1, FR, 19.0, 90754.0, 90773.0, 
